User id,organization,organization type
558781,O9476,C
448465,O8864,G
924745,O7410,U
225761,O785,U
586806,O7902,C
512935,O1310,G
243295,O3903,U
773362,O2393,U
402055,O549,C
656251,O1033,G
693002,O9507,U
247959,O3456,U
234058,O6859,C
196787,O4280,G
869471,O1452,U
736107,O667,U
83374,O4902,C
208882,O7225,G
158274,O1151,U
237228,O2509,U
104415,O5643,C
781830,O9136,G
579217,O2255,U
854833,O1305,U
744033,O8279,C
565353,O2443,G
471924,O9474,U
790120,O8359,U
84099,O7282,C
391910,O1169,G
141811,O739,U
667967,O4927,U
229393,O4481,C
942394,O6573,G
553250,O6989,U
854185,O5410,U
619044,O263,C
856734,O6915,G
436411,O8911,U
20087,O2901,U
10274,O1458,C
841873,O9430,G
609510,O2967,U
197766,O805,U
184007,O2883,C
892993,O3233,G
355747,O3017,U
785004,O7355,U
298117,O1324,C
94845,O1233,G
412748,O8965,U
357965,O2394,U
936398,O1325,C
330094,O4157,G
287097,O9823,U
939633,O3116,U
912384,O8738,C
943547,O6909,G
228226,O3428,U
577513,O1673,U
664936,O7322,C
374659,O3814,G
238969,O5722,U
904474,O441,U
930096,O7941,C
552491,O2540,G
392874,O7990,U
624224,O9786,U
162319,O3546,C
699423,O8291,G
243861,O237,U
986704,O8732,U
437589,O7453,C
310973,O7706,G
903540,O2384,U
626585,O713,U
462410,O2170,C
410570,O930,G
308767,O2537,U
679732,O6056,U
201470,O9869,C
382277,O1469,G
517868,O678,U
752234,O6096,U
896082,O8460,C
486635,O8911,G
466623,O8159,U
164402,O8315,U
528849,O4925,C
467240,O1224,G
231316,O2916,U
423290,O3809,U
752623,O1776,C
347516,O9993,G
195765,O4248,U
37187,O5824,U
999777,O2427,C
342875,O8579,G
88392,O1863,U
264877,O3782,U
661744,O36,C
320894,O2710,G
390911,O9129,U
622921,O4657,U
212471,O1660,C
631473,O3769,G
15031,O4893,U
672298,O4958,U
357036,O7944,C
250013,O7654,G
565354,O772,U
479140,O6032,U
618438,O5422,C
510784,O8398,G
117648,O760,U
518711,O6932,U
635729,O8788,C
111669,O8354,G
267106,O7209,U
648784,O6771,U
626189,O4711,C
983512,O1794,G
282556,O6995,U
420092,O9004,U
153639,O9978,C
618787,O5325,G
239142,O419,U
44617,O8754,U
293612,O7592,C
614045,O4852,G
18852,O2584,U
125724,O552,U
925908,O513,C
559497,O7607,G
409785,O3883,U
804899,O3903,U
177550,O1713,C
787730,O3723,G
877743,O7536,U
134136,O3342,U
618468,O8045,C
151807,O9133,G
393572,O1511,U
898269,O257,U
744071,O8479,C
921147,O5616,G
283947,O2300,U
307370,O6626,U
886341,O1950,C
518827,O3933,G
273754,O3074,U
347216,O6573,U
399153,O4050,C
339834,O7599,G
761797,O305,U
565737,O1566,U
595868,O5965,C
945168,O7847,G
938593,O8302,U
969814,O2929,U
211720,O8896,C
261900,O5452,G
30070,O3689,U
296283,O8398,U
571582,O2486,C
964085,O976,G
17004,O3195,U
183593,O7988,U
502625,O5621,C
621138,O3114,G
504803,O1630,U
494546,O4758,U
153579,O2594,C
958612,O4566,G
126644,O8617,U
873806,O3963,U
717646,O4072,C
491295,O977,G
451599,O5515,U
827629,O9716,U
580241,O261,C
928846,O8696,G
468858,O4323,U
332950,O6095,U
660318,O1631,C
179144,O625,G
649207,O8087,U
852925,O5839,U
755640,O528,C
70296,O5955,G
119613,O1579,U
637685,O3906,U
180180,O8385,C
223487,O8270,G
598658,O7286,U
26335,O1873,U
916153,O6734,C
330826,O2394,G
866226,O2265,U
755566,O8208,U
530790,O307,C
120708,O8457,G
236746,O117,U
273637,O9160,U
984512,O5108,C
961820,O3,G
646462,O6791,U
11293,O3154,U
34642,O6240,C
442004,O8205,G
633855,O6482,U
431976,O1337,U
518065,O7999,C
358181,O4994,G
613735,O8912,U
70491,O7380,U
229756,O5067,C
799360,O262,G
428616,O3066,U
31152,O6689,U
102283,O1887,C
313573,O5804,G
625756,O4768,U
902020,O6949,U
676479,O8194,C
773962,O1591,G
576954,O2987,U
72205,O8486,U
220647,O2347,C
388328,O3080,G
254118,O6918,U
60832,O5657,U
68885,O1325,C
259001,O6171,G
753040,O5329,U
118336,O3673,U
569403,O8980,C
113120,O9308,G
115435,O3885,U
713342,O6269,U
682241,O7253,C
406948,O4607,G
989029,O6867,U
328201,O6444,U
207033,O9461,C
584694,O125,G
597666,O2593,U
660189,O3484,U
362898,O1222,C
367735,O4349,G
928008,O337,U
691136,O2870,U
751902,O6893,C
240681,O790,G
822364,O6753,U
416799,O9327,U
111391,O6876,C
8928,O6704,G
572489,O8214,U
443756,O4714,U
304228,O6443,C
897279,O6973,G
95274,O8828,U
13855,O2249,U
208077,O8722,C
702539,O7328,G
839398,O204,U
951021,O774,U
589567,O5216,C
71182,O3459,G
288046,O6233,U
109814,O6650,U
648,O454,C
834394,O304,G
329022,O8603,U
194854,O2540,U
117880,O2886,C
188866,O6778,G
373404,O598,U
973670,O141,U
509208,O5605,C
546243,O8589,G
28991,O6512,U
648332,O3710,U
692093,O818,C
375027,O8528,G
681341,O3913,U
631014,O7649,U
101805,O8646,C
449227,O198,G
572230,O9977,U
468274,O6395,U
967654,O2436,C
784785,O8902,G
61657,O3470,U
543951,O6210,U
325772,O4696,C
634167,O1948,G
70031,O9190,U
270940,O7979,U
385135,O805,C
252867,O4,G
775020,O7481,U
396893,O3358,U
220563,O2925,C
844319,O8328,G
38626,O1911,U
705236,O6842,U
913527,O8735,C
731351,O3681,G
258635,O4654,U
205850,O7539,U
173179,O4685,C
6442,O4403,G
962825,O3835,U
581404,O9022,U
123064,O6345,C
100915,O6230,G
665080,O5360,U
729945,O7725,U
495194,O2015,C
64856,O9269,G
974373,O3525,U
339050,O3649,U
951268,O4725,C
902077,O2491,G
886059,O9918,U
672914,O1169,U
167176,O9628,C
868991,O5799,G
578613,O7211,U
930291,O4764,U
702618,O9151,C
929136,O3452,G
628401,O8683,U
679955,O7489,U
716234,O880,C
73327,O4243,G
894515,O7710,U
880285,O3881,U
356959,O6739,C
15555,O6042,G
900508,O6335,U
497731,O3076,U
447733,O9201,C
588977,O2798,G
292322,O5652,U
4225,O493,U
203559,O872,C
171062,O861,G
974847,O8001,U
81225,O2415,U
664706,O5735,C
734949,O9160,G
162710,O5395,U
713051,O8233,U
738938,O5032,C
938466,O9451,G
460880,O5830,U
844930,O1402,U
271507,O405,C
997959,O964,G
334955,O9171,U
901982,O3048,U
298292,O9514,C
519228,O1820,G
773196,O6663,U
819850,O534,U
661391,O2156,C
786981,O6259,G
612988,O299,U
60772,O1199,U
507616,O5916,C
932222,O451,G
11393,O9624,U
220993,O9830,U
782875,O9478,C
842609,O4737,G
945934,O5966,U
842367,O9686,U
475764,O1407,C
598715,O924,G
443197,O1624,U
957478,O8494,U
575765,O4163,C
525768,O5187,G
689225,O5957,U
350624,O7133,U
887871,O9445,C
625965,O5624,G
109310,O7702,U
97182,O9545,U
602862,O6154,C
977849,O3399,G
664452,O5685,U
456894,O5912,U
719761,O4872,C
493889,O6915,G
36281,O2388,U
107999,O4978,U
307090,O3833,C
829890,O8434,G
648468,O4943,U
529102,O4274,U
782929,O6498,C
251302,O1756,G
477479,O6351,U
359600,O1226,U
3482,O9919,C
863674,O6835,G
752439,O4223,U
888144,O4492,U
272727,O1418,C
859237,O8089,G
438272,O8413,U
966071,O1028,U
845163,O9256,C
24816,O9668,G
527792,O5531,U
193438,O5366,U
132982,O2794,C
974350,O4729,G
932241,O9080,U
875733,O5682,U
874717,O8324,C
506964,O661,G
663408,O5992,U
611407,O9734,U
550546,O4636,C
390919,O3232,G
884903,O5346,U
629210,O4372,U
171190,O4799,C
916438,O2212,G
333487,O1602,U
590133,O393,U
326650,O572,C
555769,O7727,G
743208,O4810,U
614833,O8592,U
193997,O87,C
297525,O7943,G
455808,O1027,U
205630,O2994,U
590437,O900,C
82415,O8168,G
863168,O1869,U
444523,O6484,U
535780,O6120,C
18530,O4531,G
54371,O9547,U
134964,O741,U
157584,O4384,C
521981,O1197,G
716322,O8946,U
689790,O4655,U
462748,O6038,C
387684,O7995,G
442079,O8826,U
731358,O9865,U
373557,O3353,C
369780,O1948,G
583169,O6685,U
788720,O617,U
225197,O5498,C
666087,O8063,G
896454,O3815,U
157842,O2365,U
539134,O6145,C
57537,O7561,G
736376,O5720,U
780670,O7207,U
99,O6671,C
293340,O1601,G
503549,O6145,U
408090,O7808,U
482793,O8375,C
389012,O1297,G
170675,O1360,U
283963,O9092,U
737860,O3961,C
72112,O7831,G
670845,O8747,U
540713,O5706,U
552827,O9025,C
650723,O4529,G
278121,O7765,U
918354,O5414,U
288263,O7089,C
994304,O8450,G
410561,O1727,U
980804,O3614,U
612755,O2517,C
137684,O1010,G
707288,O5701,U
299493,O4077,U
455810,O2268,C
249338,O2975,G
773119,O9557,U
628009,O7930,U
717995,O6792,C
615124,O5132,G
62716,O8796,U
757338,O2929,U
80427,O9092,C
958203,O3,G
226955,O5620,U
821750,O5136,U
772951,O2537,C
635003,O2576,G
127612,O5867,U
350631,O1407,U
960480,O9889,C
923654,O6598,G
900455,O1849,U
607684,O8323,U
56418,O7944,C
56413,O7738,G
297963,O2882,U
748899,O3837,U
698248,O2741,C
300120,O8058,G
505544,O7290,U
933111,O6624,U
581955,O7043,C
49106,O1991,G
44623,O4273,U
526388,O6217,U
6542,O6423,C
480284,O9976,G
67060,O1176,U
692968,O2332,U
460491,O2101,C
178587,O3903,G
824742,O8774,U
5315,O367,U
152836,O7107,C
577616,O5248,G
127890,O7312,U
203715,O9929,U
897068,O721,C
892433,O4137,G
228902,O4187,U
861463,O1386,U
278765,O8576,C
262518,O504,G
678083,O8620,U
805052,O5871,U
546252,O5858,C
953781,O7616,G
758157,O9628,U
693796,O8595,U
814586,O539,C
756021,O2785,G
662619,O7092,U
385441,O7171,U
780608,O5052,C
60555,O1537,G
698188,O5240,U
408829,O9754,U
710694,O1535,C
153892,O3273,G
674842,O3026,U
315736,O9141,U
314374,O4825,C
745628,O6368,G
257692,O7158,U
307120,O3883,U
675770,O8491,C
221375,O1143,G
907914,O8993,U
832719,O6297,U
374800,O4356,C
50416,O4015,G
244687,O1441,U
266523,O3041,U
557222,O1620,C
802887,O4666,G
783361,O4626,U
369693,O7827,U
529549,O5872,C
821488,O1295,G
731887,O3815,U
697297,O5254,U
336146,O5789,C
837788,O6687,G
464027,O4946,U
238322,O73,U
13247,O5436,C
480797,O4974,G
23699,O9810,U
809051,O8361,U
867098,O3067,C
728720,O8362,G
739592,O4409,U
491627,O2874,U
475113,O1685,C
333234,O8625,G
129283,O2661,U
807432,O7091,U
992644,O4235,C
241014,O6362,G
479161,O898,U
84236,O355,U
858136,O9035,C
677040,O9246,G
174493,O3698,U
148441,O5638,U
795378,O1465,C
647914,O4810,G
119310,O9945,U
371208,O8404,U
780191,O9057,C
404131,O7376,G
834293,O8788,U
106776,O3466,U
766480,O6496,C
840099,O3077,G
308903,O9743,U
403487,O6859,U
368352,O2731,C
857909,O9803,G
147851,O4581,U
832573,O180,U
214003,O2215,C
703794,O8704,G
876987,O6295,U
718440,O9212,U
340182,O6658,C
898465,O220,G
542398,O1223,U
789886,O5696,U
877944,O2979,C
712626,O3007,G
587626,O1710,U
616780,O6921,U
900578,O3908,C
117977,O8894,G
115113,O7211,U
777954,O6306,U
700932,O6120,C
814564,O6676,G
30776,O5488,U
404497,O8514,U
39601,O8104,C
371799,O1151,G
39349,O5304,U
976258,O573,U
277431,O4433,C
839823,O758,G
792023,O9132,U
993179,O9562,U
469504,O6817,C
161518,O7710,G
105515,O9839,U
639686,O6444,U
497188,O4776,C
774769,O9568,G
370511,O5899,U
891690,O764,U
633663,O861,C
359523,O1396,G
902743,O2150,U
925228,O3641,U
512378,O6426,C
114681,O9673,G
146612,O1815,U
108926,O9776,U
891463,O6079,C
716262,O6066,G
721538,O5653,U
777046,O2311,U
687025,O9735,C
706061,O1361,G
387008,O5127,U
297610,O4862,U
81278,O1178,C
691796,O1205,G
400408,O2539,U
43061,O3784,U
626103,O1669,C
623466,O3221,G
483624,O2695,U
893833,O3083,U
828077,O2145,C
740444,O4182,G
192701,O9681,U
421012,O1370,U
891052,O5697,C
848792,O9863,G
900111,O5167,U
236628,O9632,U
125507,O5581,C
147699,O2396,G
109884,O640,U
81927,O9680,U
319038,O6059,C
529079,O8468,G
756212,O7579,U
756825,O3562,U
682,O7546,C
737170,O1356,G
4218,O7666,U
898831,O8127,U
717156,O8668,C
51808,O3078,G
438666,O267,U
905882,O9079,U
606064,O7871,C
910137,O1588,G
467702,O3544,U
433406,O9782,U
650449,O9138,C
467555,O2710,G
864311,O7129,U
430558,O6523,U
827716,O1800,C
344961,O23,G
843875,O6533,U
391411,O3105,U
773588,O1093,C
113196,O4980,G
618196,O1139,U
669837,O9331,U
184193,O2158,C
700001,O1139,G
522170,O8227,U
336782,O2071,U
498962,O3324,C
690616,O7024,G
432552,O5035,U
782238,O2923,U
226447,O3038,C
932209,O7053,G
512654,O2491,U
737885,O3145,U
868246,O656,C
662225,O3430,G
62458,O3945,U
464018,O810,U
453431,O8142,C
677702,O3409,G
498290,O4618,U
260596,O643,U
825079,O4386,C
108368,O5945,G
450139,O2295,U
804004,O9385,U
241666,O6638,C
697665,O2926,G
893697,O2166,U
815145,O1823,U
833128,O5119,C
386460,O3103,G
279282,O5576,U
517604,O3621,U
524693,O7784,C
737501,O9849,G
440961,O5780,U
888761,O2843,U
993472,O8110,C
981660,O3927,G
298374,O3044,U
110261,O5674,U
184213,O8316,C
12807,O7850,G
357125,O4933,U
288015,O7440,U
575331,O2131,C
633178,O7015,G
117266,O9159,U
938224,O7295,U
260120,O7429,C
684557,O7982,G
657916,O8891,U
933824,O3786,U
534325,O6289,C
849659,O3307,G
597410,O6790,U
7354,O3438,U
408606,O2802,C
189091,O1365,G
295830,O3106,U
360535,O2636,U
593910,O703,C
620872,O5301,G
232212,O6110,U
874105,O2740,U
140869,O9924,C
333095,O5309,G
4553,O3289,U
576600,O2921,U
536455,O1403,C
132404,O9730,G
599416,O9145,U
473768,O5078,U
826778,O2693,C
64230,O9754,G
633863,O2746,U
462730,O2506,U
800924,O391,C
324700,O7810,G
731628,O1461,U
548917,O5534,U
994598,O2882,C
960320,O7265,G
155408,O1194,U
966374,O4237,U
842480,O881,C
588889,O9919,G
490207,O6646,U
21703,O2115,U
76624,O3107,C
119222,O4675,G
767769,O6597,U
341450,O4762,U
900916,O7695,C
390301,O7359,G
729147,O1542,U
272305,O2600,U
914965,O866,C
952969,O50,G
134468,O8052,U
341386,O385,U
948530,O5311,C
296674,O3107,G
131579,O5480,U
79581,O3940,U
164014,O3567,C
308349,O4517,G
769316,O3589,U
425224,O6050,U
738042,O4662,C
871497,O5175,G
601130,O830,U
938604,O5203,U
171979,O7932,C
369120,O239,G
31830,O8634,U
48493,O8429,U
841051,O5934,C
967407,O3067,G
392047,O6012,U
458002,O8053,U
287414,O8021,C
12168,O6781,G
693087,O3228,U
774563,O8949,U
815665,O679,C
626710,O1559,G
311450,O6376,U
606833,O8350,U
2008,O485,C
213332,O8655,G
235755,O1877,U
216669,O732,U
192387,O8509,C
407470,O8435,G
922461,O2030,U
55259,O6259,U
839778,O3989,C
550571,O5832,G
194732,O9860,U
797977,O6260,U
578980,O5537,C
842785,O6121,G
460591,O5479,U
73120,O9260,U
171984,O5854,C
943694,O1701,G
136937,O993,U
557402,O2167,U
759988,O1260,C
867667,O784,G
815320,O2003,U
302646,O7044,U
759699,O766,C
195889,O5031,G
151581,O9361,U
241357,O1902,U
653948,O8542,C
731029,O8949,G
597700,O2690,U
67055,O1587,U
515781,O3121,C
523633,O5136,G
732404,O2729,U
861375,O8534,U
952227,O6909,C
803322,O5880,G
44211,O2364,U
655,O7290,U
953917,O9767,C
866162,O3059,G
233114,O4480,U
773735,O1041,U
501333,O3214,C
34299,O2513,G
103708,O7262,U
905070,O8991,U
357515,O9595,C
462519,O3189,G
577466,O4876,U
199462,O5584,U
130107,O6555,C
81535,O6788,G
700468,O4223,U
243133,O345,U
319186,O1983,C
448252,O7369,G
416141,O3496,U
232690,O1111,U
772409,O7304,C
881407,O8606,G
974239,O6135,U
386554,O4296,U
179676,O1065,C
553044,O1530,G
269192,O542,U
612538,O635,U
828823,O6447,C
716393,O9070,G
609117,O2449,U
741656,O2004,U
468933,O573,C
497778,O9408,G
30128,O3267,U
597553,O5675,U
521787,O8155,C
383829,O2061,G
288802,O2761,U
52958,O6060,U
246313,O9699,C
989411,O2719,G
271783,O4331,U
677087,O6099,U
647812,O2261,C
131155,O491,G
656193,O663,U
971181,O226,U
620917,O8187,C
888425,O3502,G
226789,O8778,U
530888,O1459,U
173184,O7670,C
215074,O6000,G
142919,O8470,U
446648,O3790,U
21267,O7275,C
885353,O9006,G
748250,O2233,U
290652,O6691,U
387289,O2834,C
866489,O2660,G
578595,O3895,U
546699,O5696,U
467861,O307,C
569919,O3621,G
120046,O195,U
372239,O2402,U
393358,O2339,C
919559,O8380,G
211164,O4996,U
761585,O6314,U
121496,O4270,C
352879,O2572,G
428363,O3821,U
996711,O476,U
583356,O4507,C
741615,O5513,G
558547,O4742,U
265396,O1561,U
207006,O6021,C
121372,O3464,G
774233,O7008,U
217093,O7268,U
981341,O7166,C
907785,O3646,G
526851,O6865,U
697009,O1982,U
167811,O8201,C
727058,O2562,G
40044,O7171,U
106405,O5322,U
789090,O5218,C
97184,O4074,G
634821,O5237,U
45247,O5179,U
344528,O7444,C
300092,O4839,G
518584,O1634,U
263598,O8453,U
909121,O4598,C
60734,O5544,G
214839,O3885,U
822141,O2115,U
407276,O1987,C
486955,O128,G
163636,O2174,U
851630,O4069,U
950011,O2091,C
247197,O1276,G
17375,O4278,U
802930,O9372,U
405903,O9551,C
217170,O5277,G
387951,O5704,U
833955,O2272,U
888938,O669,C
277275,O1275,G
340125,O5198,U
911673,O1005,U
647047,O7269,C
270828,O9371,G
37959,O5427,U
129966,O3703,U
205784,O8583,C
370061,O7597,G
250358,O3981,U
743750,O3614,U
956865,O7197,C
798149,O2801,G
714752,O8055,U
500008,O9358,U
813065,O4566,C
179698,O9909,G
258487,O252,U
475570,O4068,U
364641,O6910,C
714795,O7369,G
622661,O8376,U
179008,O4436,U
237155,O1803,C
970000,O6597,G
73625,O1464,U
388642,O207,U
588791,O6781,C
814021,O7434,G
255876,O8226,U
25214,O995,U
384329,O3603,C
853025,O1492,G
461929,O3478,U
160713,O5902,U
411960,O3927,C
633539,O6073,G
365528,O3037,U
981040,O8298,U
526492,O1548,C
546472,O6416,G
494306,O2259,U
511378,O7374,U
875704,O3663,C
397665,O5545,G
710861,O4380,U
447194,O2248,U
684646,O2613,C
961397,O7480,G
706600,O8854,U
961863,O2084,U
91878,O8776,C
152525,O5345,G
990917,O7010,U
484848,O1577,U
460223,O64,C
516195,O421,G
446045,O6062,U
844859,O4685,U
576518,O7658,C
47404,O9010,G
68404,O8031,U
99285,O8786,U
246190,O2338,C
506898,O1590,G
372450,O2650,U
399623,O4276,U
62583,O1159,C
993170,O141,G
285708,O8723,U
113874,O2906,U
480088,O1567,C
453798,O3444,G
458002,O5400,U
815678,O5039,U
906612,O8919,C
761634,O8940,G
449409,O9015,U
765905,O8397,U
663809,O5997,C
349156,O2700,G
832126,O3724,U
861584,O1854,U
942260,O4308,C
472826,O937,G
138382,O3173,U
136235,O733,U
370702,O5990,C
845112,O4436,G
100461,O7981,U
61586,O3618,U
573689,O9741,C
249361,O4620,G
392504,O451,U
861453,O9821,U
718166,O8518,C
551992,O4215,G
500899,O8045,U
2495,O2143,U
723971,O2079,C
820341,O5307,G
478596,O2682,U
673055,O1096,U
385707,O62,C
825644,O6798,G
506605,O269,U
827645,O2232,U
269656,O3123,C
21998,O9240,G
736024,O4898,U
716027,O4003,U
34988,O7554,C
871881,O9326,G
986078,O6917,U
287942,O1591,U
936528,O5343,C
363563,O8018,G
636337,O4337,U
631190,O9782,U
244592,O6132,C
482500,O7346,G
999873,O6268,U
912170,O881,U
446877,O6047,C
412565,O8490,G
177272,O4841,U
937685,O984,U
749009,O5054,C
971136,O7047,G
887087,O9508,U
559487,O953,U
49936,O3478,C
445660,O2230,G
633348,O5634,U
872406,O8910,U
917180,O4024,C
907112,O654,G
174533,O7757,U
972555,O8158,U
354728,O7675,C
467207,O76,G
110993,O2374,U
450167,O5673,U
438809,O9944,C
144627,O1153,G
956876,O9550,U
977033,O3114,U
114798,O7593,C
84155,O9308,G
750605,O1785,U
67512,O4890,U
816830,O177,C
293825,O772,G
203023,O5879,U
658671,O7708,U
152051,O9036,C
766843,O8524,G
161783,O6462,U
32612,O8668,U
686574,O1255,C
920740,O8345,G
161037,O6994,U
117741,O4794,U
162775,O7033,C
234664,O3129,G
718473,O5946,U
270229,O1394,U
206590,O4104,C
937419,O8536,G
999069,O6357,U
255604,O3861,U
921547,O6950,C
706368,O7538,G
598008,O1869,U
412620,O2344,U
20418,O2587,C
902781,O3684,G
964702,O686,U
969569,O2120,U
257028,O9487,C
650170,O5377,G
62377,O145,U
203889,O8094,U
136056,O6037,C
406021,O616,G
597552,O1344,U
846941,O2679,U
423856,O4111,C
748621,O3249,G
562510,O616,U
356373,O1895,U
405411,O902,C
428325,O7063,G
968431,O4719,U
142223,O5751,U
694913,O1354,C
218361,O6009,G
334404,O8632,U
838367,O4619,U
217151,O8271,C
415481,O1182,G
746048,O5730,U
36059,O7279,U
256996,O4964,C
428708,O4571,G
18931,O6439,U
842248,O3287,U
688010,O7417,C
243180,O2729,G
253369,O9270,U
641478,O8294,U
867742,O8396,C
866615,O4630,G
735704,O6330,U
174402,O3305,U
56636,O1529,C
76880,O3955,G
742521,O3484,U
419987,O7669,U
58657,O6524,C
694213,O3926,G
436795,O41,U
204407,O4346,U
561803,O189,C
982959,O2146,G
788587,O6098,U
296823,O4963,U
284477,O4469,C
45107,O3358,G
893805,O6640,U
570566,O5467,U
976286,O1963,C
595142,O8999,G
8043,O2092,U
493720,O966,U
388563,O8528,C
607004,O4534,G
502086,O8018,U
667698,O4270,U
182453,O7116,C
79768,O8216,G
42115,O5006,U
86286,O1437,U
244679,O7041,C
224028,O5880,G
795033,O5297,U
127081,O5253,U
151408,O3050,C
673174,O7221,G
658486,O2326,U
591005,O7910,U
438694,O4194,C
140897,O7267,G
445310,O5108,U
956634,O4938,U
372010,O3628,C
662038,O7948,G
39836,O9060,U
278085,O4012,U
256234,O9440,C
598967,O2054,G
528076,O6162,U
380772,O501,U
254521,O1336,C
779364,O2612,G
936424,O854,U
885202,O6981,U
618397,O2748,C
189999,O8035,G
904226,O6788,U
7014,O7629,U
178903,O7210,C
907146,O8057,G
318879,O9583,U
237903,O8547,U
494219,O1223,C
199316,O9502,G
550531,O7046,U
820018,O485,U
163196,O9764,C
861094,O8975,G
767685,O7331,U
980672,O2185,U
703696,O7058,C
266823,O7599,G
44742,O1689,U
491339,O5530,U
896059,O4364,C
48990,O1818,G
151826,O6928,U
407141,O7991,U
606819,O2111,C
41166,O8372,G
138641,O8767,U
215816,O877,U
564038,O3571,C
114423,O1288,G
178493,O5710,U
905955,O4220,U
895760,O8917,C
398857,O2080,G
73084,O3989,U
253239,O5893,U
943422,O8405,C
491734,O454,G
398795,O1948,U
821312,O1291,U
446263,O5558,C
993400,O8596,G
491532,O7683,U
227208,O4261,U
182880,O5162,C
802729,O8580,G
190289,O1674,U
713094,O7596,U
661543,O6901,C
65546,O3638,G
367401,O2323,U
174533,O3862,U
758467,O627,C
543182,O9580,G
182961,O9843,U
812922,O5745,U
442426,O3754,C
144940,O270,G
874524,O4610,U
217057,O1406,U
515453,O1320,C
635068,O1647,G
365015,O645,U
511630,O8243,U
480905,O5428,C
943686,O533,G
589003,O9723,U
798930,O1103,U
699384,O2284,C
694832,O4060,G
774351,O8789,U
360586,O4780,U
657478,O7702,C
925232,O6618,G
227972,O8256,U
124886,O5193,U
215785,O7023,C
170304,O7827,G
466855,O3549,U
369537,O7930,U
92197,O598,C
181291,O4234,G
