Organization 1,Organization 2,Distance
O34925,O99863,2
O78658,O8772,78
O42270,O38428,78
O23880,O95726,77
O61065,O17673,66
O82507,O29735,32
O87622,O38895,46
O21125,O15563,99
O2753,O67708,95
O45449,O67222,39
O82754,O54367,26
O56195,O12938,90
O40407,O49991,26
O61072,O83546,99
O92937,O36884,64
O48974,O72569,58
O31934,O90367,29
O73316,O19842,99
O54628,O88243,12
O7578,O81642,77
O38929,O76687,65
O77177,O944,67
O94036,O87323,41
O84892,O40323,6
O43735,O98448,94
O15954,O89125,18
O6651,O35666,38
O89843,O90020,14
O42631,O29510,73
O79724,O98010,17
O11402,O65443,79
O19702,O59196,11
O8719,O49857,4
O27962,O44426,76
O42470,O79038,24
O92692,O71656,89
O9781,O71260,50
O32407,O94742,21
O79443,O6178,94
O77795,O60346,62
O31536,O38225,36
O88231,O25901,33
O98669,O15748,40
O20195,O79967,30
O88966,O52058,21
O26798,O16354,93
O10746,O51076,44
O35866,O62036,51
O74318,O14229,34
O92711,O52908,57
O12832,O60716,10
O88874,O31653,64
O17170,O16391,88
O70490,O662,23
O87866,O34332,68
O13082,O92915,68
O74817,O84859,51
O21343,O57329,90
O17325,O36828,60
O279,O38521,50
O96419,O74353,23
O53013,O48649,56
O73841,O21007,99
O84721,O10341,41
O86934,O21916,6
O28563,O28144,15
O62845,O96224,50
O6987,O74888,19
O34363,O37299,45
O30298,O70711,32
O16894,O84112,35
O712,O61918,100
O21907,O84122,87
O68206,O85317,22
O66407,O55367,4
O14562,O94331,60
O89883,O58831,100
O11328,O76758,29
O45818,O15500,54
O45875,O50676,14
O50583,O18218,23
O66767,O72503,18
O87908,O5930,5
O18235,O67721,15
O28113,O21372,34
O69446,O33713,60
O78,O30754,80
O69446,O32735,40
O21467,O30143,81
O48732,O14511,13
O19417,O13422,89
O78461,O48004,19
O95692,O4112,57
O74643,O11510,97
O267,O72598,84
O16003,O62250,41
O5815,O44401,5
O49716,O36516,39
O71695,O38512,10
O50147,O73945,48
O32816,O40670,9
O11200,O54047,12
O7069,O7354,46
O72839,O24942,83
O7895,O61965,8
O59846,O40684,17
O69122,O58068,89
O79520,O71405,100
O14055,O96611,6
O91623,O17409,22
O78242,O92737,16
O73084,O88703,33
O61565,O89337,58
O8708,O86992,83
O29131,O30481,66
O64733,O31134,28
O51794,O80512,20
O74694,O61129,48
O44905,O86459,95
O50691,O6620,23
O962,O99568,36
O27716,O32,5
O14500,O16,98
O69568,O34359,92
O4961,O69007,8
O1627,O48544,73
O20543,O87018,58
O98709,O25109,57
O61665,O4053,1
O25449,O72096,53
O4053,O10668,33
O87702,O96190,71
O43976,O12512,35
O56334,O36942,87
O72366,O61521,62
O92994,O64543,29
O29696,O50280,88
O23929,O72162,12
O7484,O36980,39
O8647,O62086,77
O86329,O95084,98
O15957,O3394,7
O72478,O93526,84
O20601,O28224,84
O64188,O59011,91
O76328,O59845,23
O51026,O22964,46
O77896,O94635,88
O27223,O4453,80
O49779,O53190,71
O10458,O22943,97
O27140,O38685,9
O84676,O94739,59
O4459,O64038,93
O87550,O6060,28
O80649,O29344,42
O52880,O15294,32
O26646,O68237,99
O37462,O3866,84
O70645,O74993,97
O17252,O57497,100
O93375,O9706,42
O44982,O78026,11
O70764,O48610,19
O26102,O58110,47
O85436,O34790,61
O30641,O82457,44
O76489,O21715,57
O49955,O40313,78
O3806,O58065,61
O78304,O45169,52
O62257,O97980,4
O18573,O2775,47
O61858,O7403,21
O72816,O75548,70
O8647,O41744,80
O90941,O38015,15
O11987,O73212,69
O31688,O33091,75
O60496,O85290,25
O14943,O3141,52
O48844,O6049,36
O26405,O13807,42
O87440,O65767,42
O21119,O59375,55
O55220,O21941,54
O80314,O94006,64
O42299,O4618,73
O42437,O1741,92
O4519,O48419,27
O62356,O18274,86
O29998,O19869,1
O69820,O46715,67
O51272,O79569,42
O75707,O48309,31
O65715,O3387,91
O95970,O60456,97
O25245,O56592,2
O61409,O49612,6
O26873,O13052,2
O30590,O77868,88
O94547,O98071,70
O87562,O81684,66
O34509,O11611,29
O20116,O6903,100
O29576,O5279,51
O11345,O26342,74
O72183,O82995,82
O99375,O84179,5
O71119,O29598,48
O50095,O49354,25
O93999,O7888,72
O90349,O50996,81
O11547,O36521,46
O46939,O17871,71
O80084,O41017,38
O75659,O64474,3
O64619,O6408,55
O91205,O99414,15
O73758,O32277,56
O92950,O12135,35
O25115,O23775,100
O5294,O28558,40
O43093,O13519,93
O30530,O80067,63
O71031,O74093,83
O59298,O86166,65
O49475,O73099,45
O80530,O55426,16
O38212,O19751,42
O95936,O93056,73
O290,O33330,55
O12069,O83423,15
O30576,O70353,81
O3244,O89457,16
O45138,O89046,70
O12198,O97448,32
O93272,O27735,6
O27653,O74556,53
O59369,O32225,83
O27590,O34989,96
O2388,O29589,42
O91504,O51812,44
O31551,O50136,35
O69840,O54776,85
O17953,O48531,100
O86477,O62561,70
O13397,O43751,41
O51158,O30683,70
O45658,O65698,51
O18234,O17649,60
O27942,O98055,98
O94632,O70281,92
O77976,O10740,48
O23324,O11770,73
O9230,O35741,24
O81775,O57179,16
O30747,O20013,74
O89128,O11927,2
O7955,O60167,79
O55035,O28992,11
O47648,O49821,63
O81531,O76033,1
O94885,O52890,5
O23594,O72942,89
O13989,O42200,81
O97902,O9829,71
O46808,O62654,100
O7553,O55205,86
O49269,O85150,75
O13730,O56624,39
O56788,O69114,23
O6516,O94807,77
O53972,O6269,43
O40343,O10038,78
O57716,O22280,80
O64382,O90085,27
O41367,O72467,10
O84150,O92255,20
O49341,O7566,59
O38537,O19696,91
O79705,O51135,18
O46307,O66386,68
O17272,O38388,57
O19356,O45394,61
O30889,O50748,58
O24340,O80706,96
O14366,O51909,8
O78105,O24979,43
O58855,O74452,61
O41528,O77190,42
O58950,O16476,5
O5756,O82308,69
O11776,O39326,5
O35947,O58334,62
O981,O15452,46
O55095,O21155,46
O88510,O23272,85
O82341,O82599,21
O86278,O23971,6
O8093,O78834,14
O44425,O43473,96
O47335,O62459,67
O73456,O66591,62
O43705,O16404,81
O57652,O70256,3
O94193,O80564,68
O76485,O16929,11
O76351,O7253,54
O91241,O92743,80
O58693,O39566,5
O88706,O11871,91
O93707,O37690,35
O41792,O27606,49
O10412,O62132,79
O99087,O2110,52
O11979,O90556,56
O81605,O62701,4
O6842,O62519,32
O32646,O64950,31
O62930,O33447,19
O28400,O56470,75
O57439,O74082,63
O81833,O69758,44
O32480,O6261,69
O70929,O85146,51
O39339,O89647,18
O92103,O51518,42
O24785,O90730,76
O13869,O1715,63
O88995,O61765,55
O33934,O39679,56
O18781,O85143,51
O17485,O40931,99
O26759,O42416,75
O41490,O73612,48
O78104,O3045,83
O31724,O28834,62
O44091,O75285,49
O8972,O53974,88
O87992,O60080,30
O19878,O73166,5
O19832,O42828,85
O19370,O72296,95
O58916,O42493,66
O14978,O54942,85
O44682,O30702,54
O99678,O79731,59
O81591,O43441,73
O7940,O99528,25
O2887,O77520,66
O95533,O92416,77
O89330,O92917,13
O82383,O36004,96
O44825,O84390,78
O79784,O82453,25
O66957,O73528,30
O40222,O12489,75
O824,O66420,1
O49523,O64080,27
O11113,O70581,2
O89406,O99619,53
O99956,O89238,1
O14446,O37261,74
O38441,O33904,47
O41294,O86997,62
O41966,O51522,35
O55594,O84590,64
O95522,O18686,10
O93415,O23025,49
O84407,O49776,14
O18821,O30380,68
O20937,O50078,61
O82881,O92601,67
O93602,O30151,100
O7170,O68070,71
O44066,O88138,45
O53221,O8031,63
O44892,O20627,61
O93155,O73508,34
O30604,O64721,96
O28486,O36434,18
O39019,O73277,4
O68838,O11171,96
O55893,O70189,93
O48732,O28795,74
O41297,O83225,48
O50420,O67370,6
O14027,O21311,40
O20066,O47214,95
O8674,O62699,68
O50013,O46072,67
O24961,O5678,25
O43553,O19524,1
O61426,O83683,32
O97375,O81370,56
O80606,O49070,48
O69429,O74202,22
O54370,O10257,36
O2436,O71839,95
O98454,O58655,73
O88707,O79756,90
O8328,O5605,59
O78366,O50113,40
O49436,O86006,85
O21206,O24862,46
O69765,O47495,4
O60477,O87663,94
O88633,O80766,49
O675,O69988,92
O26556,O49968,31
O24711,O61550,93
O96053,O61542,5
O94478,O84357,22
O87532,O9556,41
O77286,O34631,29
O84647,O15002,33
O29478,O11143,70
O53992,O39474,71
O31592,O86129,17
O94993,O89834,25
O18212,O24733,13
O8813,O23640,1
O8069,O25186,24
O72159,O63811,38
O59157,O29981,84
O86639,O48156,22
O20945,O16937,74
O1692,O1035,9
O76264,O23666,15
O16866,O97034,86
O64554,O22944,52
O27388,O48481,47
O56869,O76591,32
O86798,O8655,72
O64717,O95284,20
O945,O10158,80
O68705,O51463,86
O43262,O52271,64
O24589,O71073,87
O60034,O85596,60
O98244,O76213,62
O9699,O22464,68
O80334,O13450,60
O16349,O35880,16
O7394,O87149,46
O59256,O82748,72
O4359,O207,64
O8133,O16535,26
O48578,O3200,57
O64252,O12055,90
O22266,O7337,62
O47672,O53969,37
O29308,O56539,45
O78376,O33866,19
O33182,O87649,42
O86545,O74950,38
O11858,O17387,69
O27851,O87994,67
O36401,O5825,84
O8409,O86552,49
O95045,O37725,73
O51645,O99065,100
O99690,O25109,62
O23072,O74138,81
O83136,O49146,8
O17915,O56519,5
O17402,O36774,5
O88398,O41359,21
O33409,O54925,81
O5242,O52888,97
O30054,O32086,78
O21662,O51236,23
O95780,O33888,34
O24298,O10234,20
O3598,O78034,75
O49796,O19707,11
O77791,O22778,65
O41963,O22839,94
O76873,O71851,64
O16520,O49556,72
O2101,O97297,95
O80053,O73083,56
O54031,O54106,45
O52722,O32868,77
O57091,O36019,89
O41941,O43878,52
O37876,O10494,45
O58979,O48308,67
O63710,O76786,62
O31082,O28253,47
O25566,O53365,13
O1462,O77630,12
O6431,O39808,13
O9772,O70119,14
O99151,O24706,30
O54564,O63572,33
O90172,O14811,74
O83902,O30817,18
O66448,O96453,5
O52842,O94406,47
O4163,O61432,28
O81924,O15387,29
O10391,O45565,67
O76554,O48996,77
O54591,O46405,77
O91857,O31086,35
O78106,O85069,98
O79744,O25009,100
O75589,O70676,21
O14048,O45097,24
O44987,O315,40
O41275,O53762,1
O69943,O7431,28
O14931,O46550,90
O75220,O69523,46
O65908,O39036,18
O28658,O58744,41
O80960,O11627,28
O38089,O92596,27
O25571,O9502,62
O89869,O40386,37
O50997,O25130,86
O62530,O90011,43
O88843,O77438,40
O18494,O39486,4
O61954,O14499,7
O25660,O88557,49
O27128,O31965,29
O33496,O22347,21
O2688,O21118,85
O65843,O64234,51
O97740,O63745,35
O22410,O19693,56
O82200,O12885,26
O42728,O54952,78
O44688,O91165,82
O17398,O58911,35
O39567,O90913,84
O14433,O1299,90
O40849,O60290,22
O84314,O59674,90
O76303,O66696,70
O44441,O2716,52
O79879,O53946,16
O57237,O36017,85
O17381,O86537,61
O86268,O72194,80
O71346,O5436,74
O53263,O74418,85
O71301,O70533,98
O76926,O64487,100
O24983,O2131,95
O13046,O67245,90
O23451,O69512,92
O38457,O29132,6
O24673,O81559,51
O17424,O81725,29
O22453,O11521,77
O80678,O46365,87
O34346,O40279,10
O36933,O19484,42
O98067,O66166,21
O78802,O85125,36
O17604,O46567,28
O21781,O51296,19
O79105,O68561,7
O31772,O20342,32
O20274,O42203,24
O28412,O74129,42
O1320,O45594,88
O66514,O83398,86
O28170,O46538,93
O26559,O98657,41
O87465,O53364,57
O49210,O63839,92
O44065,O73422,44
O11709,O39190,100
O98379,O51379,20
O47711,O17295,18
O96112,O84487,59
O9534,O88434,64
O74908,O73072,9
O32935,O48331,64
O24866,O45463,81
O13917,O64191,45
O64691,O49064,25
O63583,O19257,56
O53434,O13074,14
O73023,O53170,1
O48751,O22449,15
O14174,O10790,35
O74205,O81209,32
O29968,O35166,30
O66807,O75259,63
O46408,O47592,17
O88103,O98667,20
O16375,O88297,50
O50054,O30237,35
O57973,O46254,21
O6046,O11896,98
O60940,O17906,47
O54549,O5689,73
O3329,O50798,38
O75662,O86310,30
O67154,O65222,56
O36049,O27823,79
O21474,O78923,54
O18051,O83881,28
O16727,O88419,2
O48833,O57385,41
O40913,O85791,31
O38446,O82694,17
O88926,O68597,77
O98735,O38902,21
O61475,O21287,21
O21860,O60040,31
O75079,O75959,17
O51142,O51399,100
O38909,O61987,5
O31262,O31733,30
O39673,O40287,61
O14179,O76343,54
O81807,O10815,52
O91508,O97187,34
O70446,O41654,36
O26137,O27790,91
O11392,O61656,80
O95329,O22105,40
O73663,O72846,10
O56884,O55244,26
O18056,O20954,81
O13012,O22867,12
O23639,O57203,84
O22890,O17532,65
O8145,O3995,61
O25591,O84355,35
O47875,O54372,30
O97369,O37407,7
O48462,O30611,38
O40758,O44662,39
O82311,O4793,92
O9695,O64583,60
O98041,O41264,24
O52048,O16493,54
O44882,O25918,45
O98704,O77954,28
O13196,O7706,48
O15237,O50953,66
O10859,O86328,41
O34341,O60642,6
O35947,O90584,69
O3436,O93264,51
O14245,O82988,99
O19717,O47811,55
O66651,O94516,8
O34651,O5976,19
O35450,O21401,46
O7389,O3542,94
O66123,O22830,29
O76814,O56123,100
O19164,O21933,12
O80417,O96335,91
O53587,O87272,63
O37169,O89501,31
O28542,O78221,1
O79618,O93396,18
O94699,O66441,17
O93873,O58145,41
O84005,O69109,85
O24086,O61999,52
O67813,O54590,44
O2386,O67899,57
O97076,O78044,66
O74498,O31273,61
O61682,O16953,7
O14751,O88396,91
O8825,O13891,60
O18856,O19054,97
O40867,O70578,15
O65585,O53023,7
O91395,O19892,89
O2551,O43556,64
O23350,O11200,29
O55042,O51718,85
O57212,O92563,29
O15419,O23125,78
O23912,O55334,88
O94624,O85686,94
O88074,O70268,74
O37250,O43272,39
O37820,O4949,57
O37158,O8390,14
O5043,O73299,73
O85686,O41878,28
O4369,O25002,2
O7737,O44753,18
O18068,O15713,21
O92496,O62443,65
O84034,O13803,92
O5470,O67626,35
O56969,O57812,45
O64889,O26597,22
O781,O41961,48
O3452,O19382,21
O1054,O75817,8
O42277,O65780,44
O26801,O37909,92
O33180,O9602,20
O88613,O51561,98
O85248,O40396,88
O69986,O81166,13
O25953,O57174,35
O40694,O49869,76
O74569,O16555,69
O47479,O9720,97
O83362,O86582,61
O82044,O57325,31
O99636,O79168,33
O58324,O80778,80
O31765,O62802,22
O27019,O138,24
O59713,O64315,60
O20751,O39365,5
O11655,O98012,12
O33900,O71561,84
O18464,O26906,48
O79863,O37243,36
O18645,O56808,5
O66466,O47651,13
O27707,O69388,54
O16664,O78477,4
O18551,O9902,32
O64652,O21122,69
O76081,O13270,5
O65481,O52068,66
O9113,O29079,76
O3357,O95920,70
O49346,O60121,57
O4146,O52501,77
O23079,O92144,17
O77530,O54934,12
O70591,O80818,15
O53082,O82622,30
O83555,O40589,90
O15484,O60531,63
O41563,O45706,76
O65393,O57830,71
O31398,O57039,96
O15274,O41169,82
O52690,O23843,67
O83178,O48369,13
O6663,O90735,32
O84526,O49637,40
O52386,O539,19
O34837,O42934,76
O72780,O99823,40
O98156,O89459,28
O88267,O71327,75
O85651,O20135,42
O61104,O72659,89
O12939,O37640,27
O32930,O25253,45
O17269,O43628,35
O70375,O62752,48
O17239,O21886,88
O71362,O53853,100
O24069,O87082,69
O38101,O20812,41
O69944,O59796,54
O95133,O3158,85
O50680,O49290,54
O11528,O25202,41
O62970,O22610,96
O75027,O12834,99
O80339,O66050,82
O45466,O69297,10
O122,O80235,68
O59964,O79073,14
O471,O16553,33
O897,O50970,48
O59956,O62525,34
O9864,O32065,94
O595,O74942,15
O23217,O30288,72
O24489,O86326,97
O47519,O53599,51
O48164,O89885,58
O2458,O59438,38
O74989,O73541,59
O8802,O60232,18
O70838,O45178,72
O17950,O76171,27
O3893,O4542,23
O25335,O93198,50
O78416,O91514,80
O37244,O88504,37
O35717,O71479,23
O90366,O95347,21
O11587,O53629,97
O19132,O61716,4
O57178,O3113,98
O6420,O95308,94
O17973,O48554,70
O2725,O82563,31
O65884,O48053,72
O71276,O92335,29
O96460,O85852,27
O80043,O51697,89
O41076,O51921,7
O61817,O53419,63
O51027,O37738,92
O87526,O97719,20
O87878,O26661,86
O24401,O34577,83
O2899,O92920,46
O85872,O68166,20
O13548,O17166,5
O23725,O22702,31
O99375,O46865,75
O51948,O95221,76
O32913,O23364,45
O7993,O10932,19
O13383,O51660,95
O51914,O9706,52
O13287,O41628,17
O11833,O55567,35
O27146,O12685,26
O77691,O44449,86
O44722,O77646,57
O27831,O61258,57
O17556,O39959,2
O3173,O64377,88
O83165,O42370,7
O81617,O30985,93
O71937,O93156,62
O9421,O60510,39
O21460,O61924,38
O42109,O31314,6
O99872,O7790,5
O61277,O48317,63
O81898,O74905,39
O24727,O75456,44
O76203,O75486,45
O38059,O84846,89
O57112,O90897,78
O11385,O92071,4
O22791,O83738,12
O97948,O48484,96
O43814,O52395,75
O35579,O8876,2
O94698,O6464,26
O91593,O41540,57
O67518,O68874,21
O54969,O14724,82
O92706,O99744,16
O8427,O94169,36
O10733,O48265,100
O33821,O77585,80
O3673,O36305,11
O93927,O47492,45
O77927,O88100,16
O77076,O44214,44
O42436,O12616,5
O94580,O2110,93
O54535,O59144,27
O50377,O67002,67
O78174,O55867,81
O60415,O80528,39
O87767,O13727,60
O38447,O92637,48
O27370,O3831,80
O11748,O6876,36
O26284,O38485,45
O85112,O31618,46
O3116,O46481,76
O3765,O55562,32
O27429,O98168,27
O24389,O5485,47
O58933,O9259,72
O78494,O67469,25
O51441,O25685,32
O67761,O67489,72
O77985,O10330,58
O26622,O4881,8
O71107,O55460,29
O46762,O24841,64
O97222,O22902,31
O79180,O58827,69
O85058,O33283,96
O69611,O534,24
O95615,O42722,56
O21746,O97415,6
O1383,O77368,67
O25026,O21208,64
O93637,O90163,24
O67659,O23920,7
O20346,O43539,100
O52055,O26897,52
O69981,O3269,10
O59928,O93464,19
O36199,O93745,1
O56599,O15727,40
O72723,O90794,96
O35377,O70798,86
O13861,O21342,79
O91586,O1436,56
O12798,O58057,7
O67086,O79623,78
O98006,O79712,32
O36630,O72949,17
O81369,O57736,44
O21737,O32817,54
O89280,O42739,41
O47408,O20049,83
O74259,O98866,38
O74738,O8551,25
O1698,O58055,53
O40281,O28014,6
O9351,O76456,15
O10144,O4392,23
O15179,O75553,20
O93169,O5629,65
O15957,O7356,41
O23192,O84116,97
O39410,O13471,33
O5331,O62066,46
O22957,O27503,15
O68385,O52498,5
O76922,O253,82
O62035,O1982,55
O61521,O20047,67
O32419,O58368,65
O59009,O2333,90
O61179,O52628,74
O96014,O89593,52
O32688,O59845,10
O35044,O78480,57
O65499,O96236,3
O40492,O96495,14
O48862,O8813,7
O9863,O43978,26
O68200,O47877,52
O47419,O16311,52
O90959,O92028,69
O27137,O15105,62
O71273,O68935,90
O83210,O83138,22
O15808,O36438,52
O51899,O69806,19
O8799,O86921,4
O35627,O34433,8
O37756,O83660,18
O29648,O13199,83
O96471,O45036,92
O78445,O86024,82
O24211,O33579,19
O3456,O76,29
O95687,O11696,91
O65370,O8186,71
O26891,O8406,73
O49885,O20203,85
O75449,O20115,53
O26223,O32622,12
O93163,O66088,16
O58618,O3671,26
O9251,O86934,86
O89231,O3250,80
O55496,O4368,11
O98114,O39156,31
O99952,O40459,100
O37815,O98130,4
O52696,O67785,15
O77627,O54525,24
O28243,O91364,76
O18700,O50688,15
O61978,O43346,93
O83630,O16538,48
O78770,O39983,7
O16500,O17442,78
O87192,O88451,99
O1616,O4496,29
O39876,O3374,43
O15723,O45393,11
O47495,O24953,24
O22844,O31764,87
O15324,O58162,97
O94717,O44850,33
O1400,O37475,82
O41981,O99210,1
O72610,O35053,52
O68642,O55666,80
O2211,O66161,28
O89585,O44755,25
O31854,O7797,4
O41539,O8359,95
O82768,O84120,58
O36439,O91700,56
O12057,O80978,36
O98658,O87775,57
O22187,O53632,14
O77011,O3338,19
O83588,O59391,83
O91340,O71902,9
O78940,O29535,43
O669,O97034,39
O75978,O51431,68
O38630,O19227,40
O3207,O70184,100
O82237,O174,8
O84076,O231,2
O40485,O21381,95
O31063,O75197,34
O7434,O22177,76
O18984,O90244,22
O56493,O42608,99
O58889,O45405,86
O93688,O89128,66
O72975,O29474,64
O57351,O13282,61
O70229,O65144,86
O62897,O96894,94
O44470,O89887,56
O69815,O29571,72
O73369,O47844,57
O22736,O75338,56
O78856,O59614,10
O11597,O93845,100
O78692,O86306,9
O53005,O94759,86
O71311,O77470,47
O83366,O92080,3
O13907,O34406,36
O82756,O52343,88
O93653,O46785,44
O70266,O44434,33
O37211,O75899,92
O93489,O90995,9
O25039,O20989,50
O77383,O97728,20
O26749,O56242,66
O57901,O35564,29
O34603,O22479,45
O8318,O25509,13
O33845,O78925,100
O52475,O21784,36
O35885,O21505,9
O2858,O57183,42
O76310,O79043,13
O75330,O98047,79
O96198,O40129,1
O60844,O97894,69
O43635,O82745,94
O74739,O33255,98
O83792,O72111,100
O14478,O89971,16
O37621,O16534,56
O54183,O54200,100
O24144,O5182,15
O83262,O12361,24
O33843,O51993,16
O68651,O47307,3
O38879,O63580,47
O25706,O58326,83
O215,O34476,100
O23276,O4545,36
O94706,O72364,68
O29873,O52587,26
O64113,O57867,30
O67693,O62605,27
O90077,O44162,44
O82690,O104,28
O83349,O2924,23
O36047,O70333,13
O76224,O51592,21
O81352,O79886,96
O94881,O38219,80
O31794,O65864,73
O28485,O52042,80
O73618,O34164,58
O28810,O8234,29
O77786,O72479,5
O63454,O921,40
O42243,O26679,9
O20158,O41982,3
O64399,O16184,45
O13616,O92849,14
O44642,O72950,49
O99185,O87086,34
O97007,O60436,19
O37631,O6529,70
O77130,O79273,74
O98311,O25113,4
O51547,O43918,21
O69481,O36658,45
O35711,O96788,85
O46146,O28717,97
O64285,O42208,33
O84920,O10087,15
O45948,O90765,47
O96291,O59329,2
O85949,O20035,80
O70901,O90311,8
O39722,O45354,1
O85254,O54741,49
O49212,O47010,83
O19273,O61448,22
O28268,O63693,88
O92462,O44586,85
O28100,O60688,82
O71571,O49884,19
O56841,O5999,89
O22461,O38825,51
O58459,O95862,18
O4404,O31250,22
O10449,O53888,43
O75241,O89183,94
O98724,O9791,69
O24655,O37783,29
O35890,O10882,36
O43759,O10639,45
O83861,O28116,63
O96864,O42576,67
O74092,O71481,90
O8856,O38481,11
O53349,O74852,78
O88096,O49783,20
O90866,O21301,89
O24322,O24702,57
O65581,O9976,6
O16981,O39193,40
O11512,O1468,85
O57912,O94252,25
O99141,O96807,97
O2500,O47339,9
O52188,O53238,27
O42375,O57219,53
O83597,O35770,75
O46536,O73997,5
O71312,O58842,98
O48930,O86064,50
O33893,O53699,32
O65000,O26293,46
O31405,O68018,5
O97463,O36481,10
O87373,O68658,25
O73491,O78511,95
O70016,O89683,39
O5386,O85885,79
O25903,O60958,42
O14512,O79831,59
O62065,O91110,1
O1898,O72872,43
O26807,O66437,37
O18292,O45988,1
O23973,O58994,11
O49152,O48841,51
O6155,O83781,44
O83474,O70493,8
O37452,O58451,25
O37124,O65292,4
O85389,O51346,79
O63858,O349,75
O74778,O947,82
O9179,O69731,6
O65057,O88166,75
O50783,O17675,70
O97440,O79837,15
O35798,O77567,37
O95798,O32954,72
O340,O89277,83
O64745,O18431,50
O32923,O59631,56
O13414,O96048,26
O8620,O11397,89
O28550,O43460,54
O52903,O56078,34
O9471,O18965,90
O92147,O50284,89
O37627,O62770,81
O28864,O86163,84
O41189,O72916,75
O63816,O85325,90
O56982,O52887,60
O14404,O81070,99
O4064,O8615,86
O52217,O1601,68
O72694,O65621,23
O92704,O59864,16
O30882,O599,41
O4317,O94587,61
O48502,O579,43
O90824,O53659,84
O78659,O63002,81
O41683,O28039,69
O52141,O79568,17
O26443,O5332,3
O97402,O65712,43
O91892,O12052,30
O6445,O1449,45
O79858,O58210,7
O13701,O51386,67
O52984,O91770,12
O5164,O70598,53
O38653,O59428,82
O35613,O66192,19
O57451,O4491,64
O68664,O5112,24
O44430,O44217,7
O84102,O35731,56
O29866,O70706,100
O74701,O5928,56
O61023,O20773,11
O42543,O18438,28
O29064,O14917,33
O3739,O68552,17
O61467,O51055,26
O92577,O44662,42
O84159,O45682,93
O59981,O4787,95
O66733,O8090,42
O84962,O82612,17
O48136,O33453,19
O38033,O63833,71
O78900,O4778,15
O7246,O74165,89
O43283,O86484,32
O5268,O41236,49
O84464,O13740,24
O52962,O50251,61
O76537,O97370,16
O27242,O5248,26
O82330,O43227,81
O74274,O14501,64
O83949,O5161,64
O87153,O75504,19
O94325,O82016,7
O40993,O57678,49
O44360,O69170,76
O20924,O17288,27
O88717,O78852,64
O83310,O97461,92
O71243,O51929,95
O30764,O37387,77
O60171,O28496,28
O55419,O20610,45
O74061,O39547,56
O83589,O33442,14
O8285,O31224,34
O15085,O4429,39
O18856,O95867,71
O24529,O42739,63
O60188,O24292,94
O71802,O85602,87
O33996,O38881,28
O72346,O51895,86
O96290,O88701,5
O2362,O18310,22
O18695,O82305,18
