User id,Interest,Interest level
575065,I9070,3
683548,I9698,2
159573,I423,7
425416,I6981,7
323858,I2593,5
50285,I4655,10
116482,I8940,7
793085,I3363,2
621389,I4229,8
395872,I1871,8
534082,I1488,9
859654,I4544,5
749680,I6138,6
696277,I9647,5
838408,I5551,5
92014,I649,5
77750,I3877,1
259951,I6778,7
836701,I4432,10
697438,I8720,2
718090,I3303,9
382444,I2352,6
220400,I1358,3
611710,I2020,4
703139,I7715,5
370078,I3350,1
330686,I3210,2
397358,I808,7
398295,I7218,2
882217,I5276,3
951034,I5371,5
581710,I6807,10
366579,I6896,7
875829,I4519,5
725579,I73,7
430571,I174,1
440256,I5691,10
44193,I7514,9
805379,I1554,3
234363,I5035,1
780924,I226,3
808188,I3,9
710327,I6555,7
862415,I7566,8
662284,I1713,10
643604,I3511,4
711064,I5490,9
310951,I5924,3
469681,I151,10
419538,I8470,1
796958,I7163,6
98927,I5802,9
71403,I5510,5
228589,I4400,1
40536,I5105,10
966638,I9156,5
805654,I7611,10
523591,I9255,5
61459,I2571,9
584004,I509,7
771918,I9270,10
819995,I4002,9
804891,I6229,7
857969,I1830,9
893364,I6295,7
310784,I9912,2
675560,I4594,5
435862,I1019,6
687618,I5442,10
713934,I149,6
668196,I2192,6
518687,I8407,7
614652,I2784,1
271340,I801,7
823728,I6332,10
582520,I3571,10
935175,I9839,8
343053,I886,4
328494,I8356,4
215285,I3142,7
654614,I7939,10
926721,I8934,9
453620,I4292,4
60186,I7876,4
254550,I2171,4
960339,I269,1
457534,I8869,4
376442,I5496,4
84660,I6905,1
560287,I3730,2
466980,I4182,4
803027,I8985,9
690271,I6903,9
12791,I8039,10
832684,I8869,8
164609,I7234,4
238589,I6478,8
170695,I2546,9
46111,I6469,1
349189,I5007,5
736556,I4273,6
529346,I3666,5
304641,I7663,9
258660,I6845,1
579582,I2406,10
138059,I667,9
8830,I7742,8
423705,I6060,3
274492,I1425,2
890546,I4443,2
747503,I5343,2
772446,I3922,10
477962,I5323,2
466835,I416,5
855993,I3370,7
125731,I347,6
367749,I5080,6
221292,I4984,10
219056,I707,1
182719,I3420,10
869306,I3739,6
320746,I3597,10
690012,I6792,1
675863,I3145,8
366484,I886,2
290078,I9577,8
939009,I3601,6
943834,I899,3
141867,I8308,9
547800,I6177,7
669250,I4361,3
670504,I2380,4
382654,I5944,6
706551,I9174,7
289810,I4061,10
757673,I216,1
161382,I1775,10
119434,I718,8
79993,I9988,9
49007,I2515,10
926414,I1043,2
899674,I6537,2
693245,I3928,9
251168,I1666,5
523241,I2655,3
184245,I6142,5
720074,I7289,10
345226,I8015,5
153170,I9868,4
862822,I6043,8
763991,I6419,8
98715,I9203,7
35100,I7695,7
617278,I7194,6
599481,I6182,5
579094,I3023,4
712294,I2620,9
864770,I3941,4
74020,I7180,9
796914,I5422,5
84266,I3792,4
910738,I9600,4
191188,I6683,1
907213,I4464,5
513674,I9840,2
381452,I1603,2
488190,I7873,4
884118,I6840,5
824441,I6489,4
523206,I4170,7
841585,I579,4
880922,I239,8
838509,I7140,5
199995,I6977,5
636532,I1455,5
209886,I6518,7
567157,I9930,8
31926,I4602,8
822800,I4868,1
901870,I1142,6
206311,I7009,9
65027,I6939,8
572304,I1370,9
849492,I598,8
242385,I6161,5
403877,I2586,3
145631,I1215,7
633206,I7351,3
55864,I1734,5
448406,I7409,8
685623,I2943,4
763391,I6592,9
536222,I2172,7
699476,I6120,8
677827,I6873,8
282538,I6448,8
732968,I3049,1
30550,I6906,9
854494,I7235,10
466722,I4745,4
876478,I4440,10
374725,I9467,10
983585,I3489,7
703738,I8559,10
302938,I3452,2
712564,I9799,9
210208,I7604,3
257294,I9156,3
608521,I1583,8
525851,I2833,10
94603,I8754,7
385683,I5798,7
502809,I4060,3
943886,I9609,1
741027,I5421,7
249636,I3989,8
440220,I3309,6
866318,I6093,4
856322,I6929,8
633558,I1091,7
106351,I5600,4
635138,I7347,1
298311,I7099,6
119297,I7526,7
1556,I8055,3
281894,I8379,3
94895,I2466,6
841367,I3481,8
264518,I7067,9
118512,I4176,2
751106,I8673,1
223168,I4182,10
547595,I7881,2
390193,I4761,7
888746,I6558,4
690541,I8123,7
97952,I1305,10
831364,I6503,3
163,I8563,6
400656,I9162,2
530040,I7680,7
898723,I9121,8
205783,I3211,7
857305,I6836,5
113648,I6297,2
109844,I4017,9
454437,I2868,4
673759,I4209,6
347601,I222,2
487251,I1640,8
772304,I6849,6
84400,I2790,10
116753,I2212,6
704711,I2074,5
592662,I9922,2
876612,I6559,5
245433,I5316,5
378897,I2654,2
674394,I3020,2
483126,I2625,7
758792,I7219,5
305371,I3704,8
639418,I8284,10
142706,I405,6
109856,I5712,3
886033,I5953,6
923019,I4109,10
69751,I3250,2
997977,I1414,7
80154,I6495,3
791711,I8876,1
617085,I7234,4
85980,I197,5
703114,I2257,10
999700,I9853,4
668453,I4404,8
392461,I6383,7
798299,I5334,10
849964,I5164,10
592014,I6933,1
611919,I5002,6
458222,I2727,3
934537,I7792,2
192401,I6993,6
184704,I5016,3
469593,I290,7
210687,I8225,6
105792,I239,10
681208,I2208,5
58037,I449,9
961001,I9518,8
534279,I4343,8
355440,I3017,6
767089,I8987,10
343229,I5630,2
172075,I1492,8
345972,I6675,7
767992,I866,5
574422,I6483,2
949539,I9401,7
61865,I5744,1
821984,I642,9
809684,I2386,1
673771,I8089,5
190146,I7346,6
571505,I9221,1
887281,I3134,7
634599,I7260,5
91380,I3184,1
852990,I5960,10
632038,I2514,9
429395,I3788,2
885690,I128,4
4279,I8633,9
65009,I8433,8
64074,I168,5
922208,I6590,6
680705,I1777,2
275607,I8056,9
904605,I1540,6
295794,I6845,10
198242,I7756,6
396204,I3628,4
860315,I8452,9
128604,I4475,3
961177,I6002,10
446171,I9568,2
941873,I121,8
148316,I2884,1
639941,I2914,4
562614,I6401,1
662284,I4199,5
974868,I1099,5
467092,I1527,1
128199,I4417,6
105975,I276,2
366257,I2884,2
849646,I2228,4
803394,I574,1
650118,I1763,6
568249,I3779,4
302031,I4002,7
215508,I2335,8
875283,I9715,4
934153,I6405,9
326905,I8376,8
972418,I6216,2
756120,I8615,3
656194,I945,3
349292,I790,8
451810,I8696,9
357423,I1436,6
234914,I8852,9
512749,I1109,1
882071,I3101,1
992881,I6725,8
286098,I6972,2
786857,I8215,8
148175,I1319,2
403537,I2321,5
125478,I2312,7
124239,I714,3
875834,I338,5
971871,I4048,5
605437,I3661,8
575272,I1110,10
355878,I8524,9
506973,I8700,8
253661,I9147,6
623375,I8133,2
736209,I5983,2
863256,I9171,4
723864,I1575,10
649530,I3324,4
562973,I7072,3
79079,I6341,9
429237,I1484,4
582303,I8401,5
385566,I7112,7
224796,I8263,9
378367,I8965,5
239660,I9105,1
764432,I294,10
932849,I5459,3
387812,I7104,9
802147,I1719,9
307870,I8783,9
993620,I9099,3
377804,I7274,7
931685,I3669,6
725198,I1594,3
555339,I8586,3
449950,I9498,8
931029,I6436,9
409596,I4456,8
34478,I2745,9
498014,I5959,1
828255,I1993,5
65497,I528,10
628818,I3167,7
452321,I7972,2
700343,I1745,3
634243,I75,7
33878,I3334,5
792810,I7195,9
508676,I4668,8
475544,I9412,4
686647,I7853,7
237312,I7282,2
77223,I3927,1
847582,I1232,5
435647,I9785,10
207646,I9571,4
788978,I6207,9
445356,I6468,10
490853,I9618,3
835680,I1770,4
768122,I2060,7
106845,I6100,2
180701,I5998,10
630710,I7932,2
702391,I170,4
340998,I7075,10
142528,I4195,7
737841,I9663,3
977229,I3875,1
189669,I2306,9
818805,I8388,1
153182,I8668,2
419851,I640,4
298202,I9877,2
855577,I5061,8
937906,I5421,7
122081,I2881,2
801169,I9110,8
710326,I2076,10
527062,I4170,2
160475,I636,3
439838,I9082,9
918317,I9692,8
256990,I3954,9
268695,I8214,7
14921,I8707,1
322,I448,4
651477,I4262,7
746360,I8121,6
719971,I1048,2
757687,I5929,7
994050,I9316,7
601520,I3913,7
503302,I5672,10
895883,I9771,9
287901,I5610,8
802350,I8239,4
709760,I3629,9
275101,I42,3
445726,I285,10
210387,I5349,4
240861,I2963,10
664664,I4632,9
42209,I3953,10
552860,I4520,10
170212,I6098,10
457773,I2447,9
709223,I8357,9
450427,I8880,4
142923,I7203,7
120073,I1105,3
334959,I4408,6
231375,I6717,8
950456,I4538,3
127770,I9655,1
956213,I1513,2
601929,I1452,9
937863,I5498,8
101585,I782,4
931724,I1966,6
557043,I4581,10
378749,I8941,2
901084,I7487,8
799391,I2745,7
741688,I7485,10
335158,I8010,8
746023,I6004,2
113207,I2279,6
296442,I7298,2
671233,I1632,7
887385,I8543,6
487370,I8927,7
375787,I8575,2
119184,I6802,7
367378,I109,8
3603,I6660,2
740456,I9835,1
933135,I4412,8
959097,I3440,2
97974,I9533,3
31875,I9664,3
449994,I6721,10
769338,I238,9
125732,I6437,5
292292,I8334,4
657603,I9119,9
220829,I6686,9
563755,I409,10
120548,I7554,3
688945,I3736,8
322166,I8024,5
629456,I4725,8
13057,I858,1
428584,I875,5
428144,I2071,9
102852,I4886,9
705111,I6474,6
335327,I8909,4
986065,I2788,5
354850,I1316,4
980436,I5809,3
601918,I2714,8
875289,I9479,7
514371,I3531,8
895381,I851,1
32537,I5668,3
320539,I2781,7
901867,I5393,6
277725,I9484,10
93048,I1998,7
285877,I8751,7
202451,I2897,6
188640,I3840,2
325431,I4436,9
446010,I5990,5
85629,I2174,2
528402,I2728,3
451572,I2747,1
677456,I213,4
765287,I9831,6
159637,I5548,3
418505,I5661,2
236784,I3911,3
740370,I2548,6
55233,I8202,2
302641,I7426,1
811231,I4650,4
6839,I2601,8
38459,I5635,10
560361,I6392,9
291219,I6489,1
411544,I4454,10
747674,I1190,3
969773,I4419,4
675614,I4062,3
955981,I1180,6
213846,I2445,9
583730,I4823,8
999416,I5288,10
759180,I3316,3
60406,I1303,9
681236,I2421,10
801191,I6679,6
625266,I8407,7
552912,I28,10
445822,I2309,9
235444,I3547,2
661519,I8398,9
788101,I5059,6
628414,I9971,2
699131,I2926,9
556554,I7524,8
194363,I5292,6
770061,I7339,7
504860,I6385,9
613083,I1644,2
423286,I9549,4
977242,I5315,6
631753,I6490,5
641264,I8839,3
936457,I237,6
381712,I5758,1
345044,I3008,9
277951,I3064,6
609031,I9406,5
249168,I7223,2
541282,I215,6
430468,I9206,4
462209,I2554,5
995784,I4267,2
918400,I1367,5
12813,I8537,1
811352,I1978,2
578492,I6842,6
235225,I6562,8
534291,I3341,10
767018,I8055,3
314808,I4499,8
720120,I8417,7
477567,I2843,5
823398,I3337,6
327439,I5899,9
253784,I3963,4
930756,I3764,7
313586,I2554,4
158329,I6625,8
403722,I9423,6
820168,I5619,10
571587,I5455,7
183520,I5071,2
968841,I3533,7
454865,I8828,3
743591,I7942,5
399425,I498,7
800309,I7158,9
159362,I8150,3
941437,I3362,4
432024,I6930,7
561666,I1380,2
996854,I3994,5
171666,I3882,2
952296,I321,2
536664,I8078,9
829890,I8978,9
176375,I2770,8
753474,I7009,2
761169,I6973,2
219281,I7583,3
349957,I1963,6
824323,I4597,6
230957,I4532,3
876808,I1386,7
401151,I3006,4
321028,I7366,7
414564,I81,6
437464,I7530,3
639129,I6103,7
902879,I7251,6
772464,I1824,7
782290,I8550,6
186797,I810,10
903624,I7733,2
680763,I1241,2
851751,I2094,6
235727,I5531,6
573101,I5775,6
168778,I4287,1
907095,I4795,9
363761,I8734,8
433672,I2671,6
317713,I1302,4
20615,I8336,6
450138,I8355,1
807959,I9097,4
428725,I3533,6
29961,I5692,2
354429,I8115,8
384854,I2411,9
519802,I507,1
731102,I4032,6
584901,I7506,3
561504,I2821,2
500366,I9953,3
242157,I4942,1
841648,I6002,10
687331,I2743,2
211518,I8444,7
867664,I5226,3
774231,I800,2
163116,I6819,2
500226,I173,2
260492,I5938,3
316416,I2998,10
791310,I414,6
509322,I512,3
767648,I1291,1
123548,I9718,1
685019,I9210,1
503464,I7777,7
699588,I8296,7
679803,I8026,4
378852,I3636,6
825052,I727,1
630525,I403,4
188045,I8121,9
271819,I4979,7
141203,I7566,5
526924,I5982,7
89097,I1310,2
389565,I2940,2
791001,I8123,9
300061,I9752,5
280990,I7887,10
706685,I4672,1
657372,I4117,9
623244,I392,8
107471,I2774,2
734358,I9825,9
148973,I3431,6
656236,I6633,4
573385,I7491,8
565506,I1917,1
671434,I7898,5
134776,I9566,8
723941,I4865,2
342884,I7841,3
615602,I2563,1
959459,I8147,2
233437,I5312,8
884693,I9233,3
273858,I4137,8
118077,I5707,3
253359,I6897,9
566355,I8852,1
86662,I2117,1
836189,I8656,9
404460,I319,1
931247,I4162,2
446671,I3975,7
464782,I1961,8
407233,I1771,8
298241,I5351,5
173818,I3943,5
244825,I882,3
447597,I1455,10
603581,I4674,8
164301,I6014,4
82514,I95,6
170327,I8187,1
758563,I5362,10
28886,I8946,1
493414,I9703,5
539594,I416,1
69323,I252,3
492128,I3910,10
157398,I6150,6
137413,I3122,6
897302,I2466,3
423836,I3817,10
500798,I4003,8
146503,I6858,5
798599,I1397,1
836031,I6614,3
16484,I8584,5
800821,I7316,4
668825,I8875,6
718403,I7036,7
348961,I1770,10
834968,I4918,8
258057,I3249,1
429357,I6108,1
855559,I9640,8
45046,I7033,1
905997,I1959,2
342524,I955,6
376473,I7349,4
437670,I9135,9
872386,I7621,4
516666,I8527,2
466165,I5497,3
517276,I126,7
299258,I88,4
95669,I6544,7
602057,I1950,2
304871,I4990,2
739140,I8624,4
293502,I4594,5
686857,I470,1
501192,I256,1
524168,I3997,7
128892,I7075,7
880999,I7626,4
682367,I4139,2
463255,I5235,2
46317,I3005,1
190095,I4032,7
81581,I4736,9
233464,I3873,7
930317,I6201,7
353059,I1169,6
261663,I3853,2
171160,I5489,6
591056,I9972,9
904352,I4247,7
481392,I3861,4
762468,I4270,3
710634,I1523,8
626008,I8738,7
935953,I1465,3
748480,I5680,1
315683,I5350,1
97209,I5565,3
19304,I5369,5
548401,I9116,3
537365,I142,5
282120,I7419,1
190201,I9536,7
802660,I1183,10
109631,I8885,4
831859,I4267,8
191775,I669,7
607043,I5266,3
915998,I5529,10
520924,I2568,4
456142,I4891,8
496679,I9990,4
315167,I3796,10
300831,I4333,7
205290,I8490,10
957315,I5680,1
506924,I7802,5
969105,I7813,9
369061,I5653,4
543524,I5244,9
732597,I4496,7
907597,I5095,3
955250,I6659,4
284110,I1329,10
122225,I335,10
246078,I2643,8
732033,I8959,8
182130,I3227,6
991558,I2655,6
809164,I8943,8
516821,I947,7
779734,I4255,6
622023,I8013,7
258234,I3121,1
263843,I290,6
902647,I9079,1
840219,I3719,2
764773,I8130,6
323690,I1853,4
848371,I1298,5
957071,I3627,1
297804,I7072,9
930122,I5505,4
618957,I1431,6
809599,I4568,2
994558,I1647,8
389265,I9861,6
511613,I8705,3
366060,I9739,8
130592,I6199,5
312626,I4782,7
944283,I4969,1
305789,I5724,6
134548,I7107,2
465257,I9403,4
819920,I2831,7
689180,I9642,10
91826,I5998,8
670642,I9000,5
578575,I9111,2
587064,I2267,4
105427,I7685,7
770204,I5021,9
327804,I9915,8
591461,I4233,2
520125,I3050,2
382711,I2936,9
104650,I814,5
533513,I4700,9
348945,I9640,9
779359,I8473,4
649025,I244,4
577003,I3327,5
981570,I926,4
819462,I2197,3
729344,I2564,3
470404,I2661,8
976973,I4527,2
72109,I6662,2
625219,I179,6
773839,I4531,5
543276,I4234,1
723455,I2903,5
244989,I4436,3
969386,I2353,1
568274,I2411,6
773061,I3243,9
616025,I9368,9
337750,I5582,6
883858,I8374,6
894208,I270,1
254225,I9189,4
30436,I2006,4
957168,I2636,4
829228,I8481,3
916493,I6819,8
538429,I8421,10
866782,I9875,9
47119,I6615,6
257009,I1029,2
583072,I1371,1
961591,I7238,3
495143,I6797,9
744138,I8854,6
177268,I1204,9
129029,I1438,1
487700,I1664,6
408006,I7168,3
508668,I2441,10
436549,I859,2
375937,I6855,9
594211,I6474,2
805858,I8578,8
94245,I4630,9
868607,I3161,5
122086,I3501,1
85947,I1700,2
368479,I372,5
152469,I1366,1
454519,I9241,6
489754,I1494,9
759175,I6748,8
429449,I3794,10
7190,I1737,10
731606,I3061,1
819184,I9046,10
352556,I5049,3
131398,I2184,7
949953,I1150,5
463535,I6270,7
540120,I7704,6
738867,I2478,2
978890,I1920,1
604218,I257,4
101382,I9448,5
132763,I1674,6
937461,I4246,8
751721,I723,4
167650,I9277,2
388508,I8602,4
389138,I6318,2
60460,I5868,9
179806,I7294,4
238082,I7920,7
357757,I9047,9
551837,I2895,5
897801,I2470,6
502131,I3687,5
39982,I7526,9
348102,I4536,3
509830,I6915,8
201851,I4258,9
336329,I2922,2
121491,I5216,3
129582,I259,7
269580,I1214,6
158322,I5561,1
581970,I9016,10
217282,I2059,1
907980,I2855,9
314079,I1539,10
644979,I512,10
118506,I3013,10
39862,I9941,2
55592,I1833,2
135906,I5189,9
446081,I1528,6
948663,I8114,6
414704,I3224,8
716618,I9007,9
463150,I9097,5
553222,I6638,8
679831,I5515,6
778162,I8666,8
968672,I2846,5
19807,I2423,6
750421,I8449,2
219410,I6613,8
524495,I1180,1
968692,I6168,1
457147,I9525,6
343960,I7881,7
867959,I8916,5
719108,I468,5
653619,I8516,1
586160,I7942,9
99018,I2147,7
387110,I5191,1
786721,I7798,8
99881,I3771,8
775839,I6918,6
298190,I611,10
420100,I1704,1
937406,I5633,2
896582,I4565,10
583145,I8533,6
64874,I3462,5
866320,I3028,7
662558,I3780,8
509749,I3146,8
263468,I3732,1
713262,I4200,10
963957,I5252,1
584798,I71,10
930449,I4683,3
573319,I4607,9
80773,I1051,7
595743,I633,5
649647,I2780,7
911510,I8234,3
603564,I6733,3
992112,I520,3
927269,I1103,9
417432,I8137,5
793811,I7836,4
138504,I995,3
207387,I5078,6
6104,I2434,3
553008,I64,7
87843,I48,7
650011,I1096,7
180548,I399,1
937013,I6791,10
808459,I438,2
871686,I2392,6
757609,I4309,1
727042,I3364,5
313445,I8193,4
109328,I9831,6
737932,I760,2
774528,I3531,9
299015,I1948,7
906895,I618,8
385171,I954,3
329546,I9626,6
998730,I2679,5
927663,I8989,1
325523,I4825,10
108741,I164,1
434029,I7000,5
501799,I6014,1
165725,I387,3
10814,I5081,4
924030,I9096,9
98016,I6211,3
355151,I4314,6
679972,I4303,2
693079,I6553,3
50780,I3646,3
392013,I5958,6
580654,I8789,10
712398,I7779,1
553514,I1973,6
154619,I2189,1
633774,I3568,1
515392,I6461,5
853484,I5270,2
319068,I5747,5
747174,I5543,2
229061,I6499,2
676194,I9621,9
579410,I1074,6
593583,I7720,1
46715,I542,1
140374,I3887,5
82385,I5288,5
682558,I2154,6
143239,I4554,2
801278,I458,4
762823,I2552,5
370645,I5765,2
162962,I98,6
779410,I810,3
359625,I345,8
373625,I8448,5
736849,I5417,9
87249,I1744,5
916362,I6124,10
535251,I1952,3
340980,I2434,9
179584,I4373,4
385031,I8333,9
863240,I3585,8
445529,I3005,8
376479,I4468,7
673772,I7113,8
865474,I2478,8
872206,I8414,1
716346,I2356,1
549092,I4237,8
253336,I9111,9
738685,I7128,1
763155,I890,9
478688,I9997,4
550348,I6739,2
167990,I2109,6
140346,I3983,4
728840,I9443,8
169305,I6010,3
217132,I8538,10
251275,I6114,2
161436,I4759,1
209295,I4233,7
343672,I2182,4
83359,I746,9
742184,I1911,1
829190,I3281,7
22740,I1511,6
837750,I882,6
553755,I9060,3
500068,I5709,8
597845,I2640,10
937275,I8021,3
418399,I1812,6
517890,I2870,4
654108,I7685,7
699971,I3392,1
423092,I3337,9
10500,I2204,4
203697,I3314,8
288210,I1375,8
754136,I8356,1
827658,I3094,6
30050,I8587,10
291919,I6463,4
793959,I4340,10
697611,I2421,6
54301,I591,9
644970,I4078,9
383630,I3814,5
76055,I5341,5
633119,I9940,8
804079,I7045,3
230516,I6925,6
737689,I5970,7
138223,I741,9
269571,I2725,2
